Coins_date,id,Price,Market Cap,Total volume
2018-11-25 00:00:00.000,binancecoin,5.16,745484408.3076448,10589327.164436432
2018-11-26 00:00:00.000,binancecoin,5.21,752717119.6347101,11489580.000676606
2018-11-27 00:00:00.000,binancecoin,4.94,719974004.6109353,10712379.176454151
2018-11-28 00:00:00.000,binancecoin,4.94,715334615.1466825,7692710.450950106
2018-11-29 00:00:00.000,binancecoin,5.33,768130862.9559458,14185022.01959055
2018-11-30 00:00:00.000,binancecoin,5.35,771935628.5125525,11948338.739325073
2018-12-01 00:00:00.000,binancecoin,5.07,733037374.9700916,10491232.54679996
2018-12-02 00:00:00.000,binancecoin,5.26,760990933.845924,13106457.722086903
2018-12-03 00:00:00.000,binancecoin,5.23,754704945.5522399,13021313.56545293
2018-12-04 00:00:00.000,binancecoin,5.07,731967065.7259266,12448461.024609197
2018-12-05 00:00:00.000,binancecoin,5.87,846722370.1623285,35336440.393286735
2018-12-06 00:00:00.000,binancecoin,6.06,874775886.0261323,56969041.77278959
2018-12-07 00:00:00.000,binancecoin,4.93,703029474.0324618,33975846.41225837
2018-12-08 00:00:00.000,binancecoin,4.51,652042804.900303,25475156.926374502
2018-12-09 00:00:00.000,binancecoin,4.7,677799025.5224495,19276580.528402504
2018-12-10 00:00:00.000,binancecoin,4.8,692861265.6121893,20752169.492523782
2018-12-11 00:00:00.000,binancecoin,4.59,663389003.558907,15418897.499459663
2018-12-12 00:00:00.000,binancecoin,4.86,694066438.7233632,20644057.56032723
2018-12-13 00:00:00.000,binancecoin,4.97,716850026.7178999,14324729.513927205
2018-12-14 00:00:00.000,binancecoin,4.6,662538458.3176559,14440568.5207614
2018-12-15 00:00:00.000,binancecoin,4.47,645951230.7893397,13950440.058444992
2018-12-16 00:00:00.000,binancecoin,4.54,654002924.7738727,15191783.740061471
2018-12-17 00:00:00.000,binancecoin,4.65,670459060.9824202,18897684.971329838
2018-12-18 00:00:00.000,binancecoin,5.06,728992546.4378468,21778555.595099192
2018-12-19 00:00:00.000,binancecoin,5.52,796697911.8939688,28430902.94072044
2018-12-20 00:00:00.000,binancecoin,5.42,783144467.861639,24971936.363293838
2018-12-21 00:00:00.000,binancecoin,5.67,817962331.2800756,28293644.531650614
2018-12-22 00:00:00.000,binancecoin,5.48,793831097.4737211,24949306.612803593
2018-12-23 00:00:00.000,binancecoin,5.82,839989864.5957891,29980698.53472217
2018-12-24 00:00:00.000,binancecoin,5.96,860827477.9287142,33291898.385203596
2018-12-25 00:00:00.000,binancecoin,6.09,882913638.7853035,33855193.106273375
2018-12-26 00:00:00.000,binancecoin,5.36,782485496.2190835,21884038.603194587
2018-12-27 00:00:00.000,binancecoin,5.6,807817913.0395991,16912282.624721274
2018-12-28 00:00:00.000,binancecoin,5.17,746889126.4897057,13627824.726804338
2018-12-29 00:00:00.000,binancecoin,5.88,848545994.7505513,20381364.41725928
2018-12-30 00:00:00.000,binancecoin,5.73,836706088.0822629,16601972.373279642
2018-12-31 00:00:00.000,binancecoin,5.89,850105601.4329103,18852746.388558447
2019-01-01 00:00:00.000,binancecoin,6.08,879152887.8663572,33173245.32736939
2019-01-02 00:00:00.000,binancecoin,5.99,863221330.110088,20250617.701323178
2019-01-03 00:00:00.000,binancecoin,6.06,874914238.8823946,25749501.33589444
2019-01-04 00:00:00.000,binancecoin,5.8,837887454.8053683,16772990.672760751
2019-01-05 00:00:00.000,binancecoin,5.97,862767566.4442351,24550945.24033442
2019-01-06 00:00:00.000,binancecoin,5.91,854343865.4897851,33720095.6533029
2019-01-07 00:00:00.000,binancecoin,6.27,905101272.6499437,44727778.65401812
2019-01-08 00:00:00.000,binancecoin,6.21,896079437.6269069,29924667.236053698
